GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.syntifi.near:near-java-api,com.syntifi.near.api.jackson.deserializer,AbstractAnyOfDeserializer,0,80,0,2,0,18,0,5,0,4
com.syntifi.near:near-java-api,com.syntifi.near.api.jackson.deserializer,PermissionDeserializer,0,22,0,0,0,6,0,4,0,4
com.syntifi.near:near-java-api,com.syntifi.near.api.model.block,BlockHeader,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.block,BlockChanges,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.block,Block,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.block,ChunkHeader,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.block,Chunk,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.block,BlockChange,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.block,ValidatorProposal,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.accesskey.permission,PermissionTypeData,0,75,0,4,0,11,0,5,0,3
com.syntifi.near:near-java-api,com.syntifi.near.api.model.accesskey.permission,NoDataPermission,0,14,0,0,0,2,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.accesskey.permission,FunctionCallPermissionData,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.exception,NoSuchTypeException,0,4,0,0,0,2,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.gas,GasPrice,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,SyncInfo,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,PrevEpochKickout.Reason,0,6,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,Version,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,NetworkInfo,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,Validator,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,Producer,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,Fisherman,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,PrevEpochKickout,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,ValidationStatus,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,CurrentProposal,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,NotEnoughChunksReason,3,0,0,0,1,0,1,0,1,0
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,PrevEpochKickout.Reason.NotEnough,0,6,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,NotEnoughBlocksReason,3,0,0,0,1,0,1,0,1,0
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,Peer,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,NodeStatus,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.accesskey,AccessKeyChangeDetails,0,3,0,0,0,1,0,1,0,1
